post_id,week,type,theme,slide,role,layer,copy,char_len,overflow_risk
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,counter,01 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,top_eyebrow,Education · What is sync licensing?,35,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,headline,Nobody explained this in music school.,38,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,body,And it's worth more than anything they did teach you. ↓,55,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,1,hook,footer_label,Written by,10,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,counter,02 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,section_eyebrow,Education · 1/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,stat_number,"Sync licensing = your music in film, TV, ads & games.",53,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,2,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,counter,03 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,section_eyebrow,Education · 2/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,headline,"The work, in numbers.",21,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_placed_label,One Netflix scene,17,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_placed_value,"$5,000–$20,000",14,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_roster_label,One global ad campaign,22,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,stat_roster_value,"$10,000–$75,000",15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,3,proof,footer_label,Proof,5,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,counter,04 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,section_eyebrow,Education · 3/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,stat_number,Here's the full breakdown — swipe through all 8 slides:,55,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,4,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,counter,05 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,section_eyebrow,Education · 4/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,stat_number,Here's what you need to know:,29,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,body,What sync licensing actually is · Who's involved and what they each do · What placements actually pay (with real numbers) · The two licences in every single deal,161,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,5,list,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,counter,06 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,section_eyebrow,Education · 5/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,stat_number,This is the foundation. Everything else builds on it.,53,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,6,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,counter,07 / 08,7,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,section_eyebrow,Education · 6/7,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,stat_number,Save this. Share it with a composer who needs to know.,54,YES
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,7,body,footer_label,Education,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,counter,END · 08 / 08,13,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,section_eyebrow,Apply this week,15,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,headline,Open briefs. Every Tuesday.,27,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,body,"Composers: apply once, get matched for life. Supervisors: shortlist in 48h.",75,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,cta_text,Apply now,9,
IG-EDU-01,Week 23 · Jun 1–7,Carousel,dark,8,cta,footer_label,Apply,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,counter,01 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,counter_small,01 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,top_eyebrow,Education · What does a sync placement actually pay?,52,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,headline,A South African composer just earned more from one Showmax documentary than,75,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,body,from 6 months of streaming royalties.,37,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,1,hook,footer_label,Written by,10,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,counter,02 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,section_eyebrow,Education · 1/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,body,This is not exceptional. This is the market rate. ↓ · Here's what sync placements actually pay:,95,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,2,list,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,counter,03 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,section_eyebrow,Education · 3/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,headline,"The work, in numbers.",21,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,stat_placed_label,"$8,000",6,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,stat_placed_value,"$2,000",6,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,footer_label,Proof,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,3,proof,footer_sublabel,Proof,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,counter,04 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,section_eyebrow,Education · 4/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,4,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,counter,05 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,section_eyebrow,Education · 5/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,5,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,counter,06 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,section_eyebrow,Education · 6/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,6,stat,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,counter,07 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,section_eyebrow,Education · 7/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,body,You also earn performance royalties every time the content airs.,64,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,7,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,counter,08 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,section_eyebrow,Education · 9/12,16,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,8,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,counter,09 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,section_eyebrow,Education · 10/12,17,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,body,The demand is real. | What's missing is the infrastructure connecting African composers to it. · Save this. Then ask yourself: is your music in the room?,151,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,footer_label,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,9,body,footer_sublabel,Education,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,counter,END · 10 / 10,13,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,counter_small,10 / 10,7,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,section_eyebrow,Apply this week,15,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,headline,Open briefs. Every Tuesday.,27,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,body,"Composers: apply once, get matched for life. Supervisors: shortlist in 48h.",75,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,cta_text,Apply now,9,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,footer_label,Apply,5,
IG-EDU-02,Week 23 · Jun 1–7,Carousel,light,10,cta,footer_domain,syncmaster.live,15,
